year,cmun,mun,modality,tot_robs
2015,9002,Azcapotzalco,Con violencia,883.0
2015,9002,Azcapotzalco,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia",0.0
2015,9002,Azcapotzalco,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0.0
2015,9002,Azcapotzalco,Robo de coche de 4 ruedas Con violencia,159.0
2015,9002,Azcapotzalco,Robo de coche de 4 ruedas Sin violencia,559.0
2015,9002,Azcapotzalco,Robo de embarcaciones pequeñas y grandes Con violencia,0.0
2015,9002,Azcapotzalco,Robo de embarcaciones pequeñas y grandes Sin violencia,0.0
2015,9002,Azcapotzalco,Robo de herramienta industrial o agrícola Con violencia,0.0
2015,9002,Azcapotzalco,Robo de herramienta industrial o agrícola Sin violencia,0.0
2015,9002,Azcapotzalco,Robo de motocicleta Con violencia,53.0
2015,9002,Azcapotzalco,Robo de motocicleta Sin violencia,82.0
2015,9002,Azcapotzalco,Robo de tractores Con violencia,0.0
2015,9002,Azcapotzalco,Robo de tractores Sin violencia,0.0
2015,9002,Azcapotzalco,Sin violencia,2509.0
2015,9003,Coyoacán,Con violencia,1211.0
2015,9003,Coyoacán,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia",0.0
2015,9003,Coyoacán,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0.0
2015,9003,Coyoacán,Robo de coche de 4 ruedas Con violencia,172.0
2015,9003,Coyoacán,Robo de coche de 4 ruedas Sin violencia,833.0
2015,9003,Coyoacán,Robo de embarcaciones pequeñas y grandes Con violencia,0.0
2015,9003,Coyoacán,Robo de embarcaciones pequeñas y grandes Sin violencia,0.0
2015,9003,Coyoacán,Robo de herramienta industrial o agrícola Con violencia,0.0
2015,9003,Coyoacán,Robo de herramienta industrial o agrícola Sin violencia,0.0
2015,9003,Coyoacán,Robo de motocicleta Con violencia,17.0
2015,9003,Coyoacán,Robo de motocicleta Sin violencia,74.0
2015,9003,Coyoacán,Robo de tractores Con violencia,0.0
2015,9003,Coyoacán,Robo de tractores Sin violencia,0.0
2015,9003,Coyoacán,Sin violencia,3699.0
2015,9004,Cuajimalpa de Morelos,Con violencia,109.0
2015,9004,Cuajimalpa de Morelos,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia",0.0
2015,9004,Cuajimalpa de Morelos,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0.0
2015,9004,Cuajimalpa de Morelos,Robo de coche de 4 ruedas Con violencia,19.0
2015,9004,Cuajimalpa de Morelos,Robo de coche de 4 ruedas Sin violencia,66.0
